,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
81,IHW-0,1.0,77.0,-5.2606867036773375,0.00027502241710308795,-5.901602295177285,0.0008945221321292607,-0.6409155914999474,0.0006194997150262282,-2.0913893879713106,0.002821169351470809,-6.001099080189064,1.9503759090877537e-05
82,IMF-0,1.0,77.0,-5.128782826116444,0.0014271428925547447,-5.769144500957008,0.001213167319408015,-0.6403616748405645,0.00021397557314650761,-2.189726377263635,0.0011460020320204212,-5.669709415848835,0.10406553974284982
83,IRN-0,1.0,77.0,-5.125353578148399,0.02478476011946462,-5.766266281734364,0.02478980894789018,-0.6409127035859646,5.04882842544685e-06,-2.2631498847012397,0.00034467040400465443,-5.22799252751765,0.06882196002404761
84,IRR-0,1.0,77.0,-3.3592689355231697,0.048981031303579226,-3.9991287338666908,0.0490344216900207,-0.639859798343521,5.3390386441531934e-05,-1.6196360039644264,0.026967997014793466,-3.925586420459757,0.09927758861172031
85,IRY-0,1.0,77.0,-2.9244100167806777,0.00810960620039669,-3.5648682285757545,0.008010969341996743,-0.6404582117950768,9.8636858399892e-05,-1.5988146428133705,0.03792204117141129,-3.4177521434132974,0.10688853504632578
86,ISV-0,1.0,77.0,-3.92608248510245,0.001106765997740844,-4.566340915498255,0.0011257486297271413,-0.6402584303958052,1.898263198635286e-05,-1.99604733499172,0.00326112777362908,-4.638282524998758,0.06120020274347793
87,ITE-0,1.0,77.0,-4.876040834244634,0.008314686169080598,-5.516612669780988,0.00824145339636928,-0.6405718355363537,7.323277271120698e-05,-2.255650224179023,0.0033578512360488144,-5.744355409989515,0.04507348977368553
88,ITG-0,1.0,77.0,-4.625020112476964,0.002817414617677816,-5.26571485474809,0.002773408786449938,-0.6406947422711262,4.400583122782242e-05,-2.1318857972663485,0.001521087634332785,-5.223665634928109,0.03855383795809475
89,ITH-0,1.0,77.0,-5.0847804946791015,0.0006920315101459629,-5.7250003278449,0.0006805347171212617,-0.6402198331657989,1.149679302470119e-05,-2.1938757399428885,0.004423118862668884,-5.783175227621961,0.09203007206745095
90,ITR-0,1.0,77.0,-5.082314724411332,0.0021193483102948107,-5.722803188172938,0.0017999647773825345,-0.6404884637616063,0.00031938353291260935,-2.195908025708172,0.0014129396193831578,-5.669944475164114,0.20179565416772682
91,ITT-0,1.0,77.0,-4.014906426770111,0.003158898677463551,-4.655720705329426,0.003524139328338727,-0.6408142785593147,0.000365240650875176,-1.7596763908287605,0.006308589657893826,-3.9350561870543537,0.05395992989255238
92,ITW-0,1.0,77.0,-6.478786778768478,0.003740593003429993,-7.11981038242695,0.0036876947577533237,-0.6410236036584718,5.2898245676946676e-05,-2.503439213500603,0.0007639903403655612,-7.425598994963382,0.04302616651010416
93,IWR-0,1.0,77.0,-4.322157182406162,0.0031131606887915275,-4.962634837589438,0.003278320294307413,-0.6404776551832767,0.00016515960551616304,-2.090802481868036,0.006648434430993833,-4.937805411141448,0.0724350384191288
94,IWS-0,1.0,77.0,-3.852108952347934,0.006119693945246807,-4.492787284165094,0.005691094199434588,-0.6406783318171596,0.00042859974581221927,-1.998089915815483,0.0023488618301483744,-4.52818298945496,0.14413899862251656
95,IWV-0,1.0,77.0,-4.072412884701295,0.003199854976451366,-4.712619602812925,0.002930578498439918,-0.6402067181116289,0.00026927647801117116,-1.9770567663640033,0.01133986922926522,-4.730959566451039,0.10107212328397575
96,IWW-0,1.0,77.0,-4.521991696149001,0.014480081648755139,-5.162168992883203,0.014322664927687079,-0.6401772967342012,0.0001574167210678934,-2.083168366494707,0.007785311540408291,-5.14150412175535,0.009820480264155496
97,JBW-0,1.0,77.0,-6.80185384957981,0.0023900153925060508,-7.442345978774706,0.002479854653003599,-0.6404921291948956,8.983926049732638e-05,-2.3591010544718145,0.004013151362477485,-7.545061200327019,0.11325784644331582
98,JNT-0,1.0,77.0,-7.190285351472973,0.0021026725669726076,-7.831333494705627,0.0019602188183882596,-0.6410481432326532,0.00014245374858412596,-2.076656045864138,0.00020843257317881836,-7.977408159224382,0.07238936730021761
99,JOZ-0,1.0,77.0,-5.916502473115832,0.0045403935826713315,-6.556958731852154,0.004649789549241667,-0.6404562587363218,0.00010939596657044692,-2.156133818063582,0.0002608497697917933,-6.459312955841248,0.07412665511892236
100,JRY-0,1.0,77.0,-6.280241823934297,0.002742390681439222,-6.920359310111763,0.0029094688632613774,-0.6401174861774663,0.00016707818182232215,-2.335253442697324,0.0017484358104284947,-6.927373484455762,0.028611989347783418
101,JSR-0,1.0,77.0,-3.607910601495038,0.003745996794376927,-4.248151237446319,0.0036587142228285963,-0.6402406359512807,8.728257154827501e-05,-2.020217049466523,0.001895968485737587,-4.2549491513658495,0.031399229740916024
102,JST-0,1.0,77.0,-5.4419646604471925,0.002561277157534736,-6.082306287479208,0.001969193076530651,-0.6403416270320166,0.000592084081003863,-2.5196210532593124,0.0026949317843094622,-6.4623821380271735,0.016876816467557898
103,JSW-0,1.0,77.0,-5.873131897852616,0.0026264629788990135,-6.513292612238864,0.0024138265348212506,-0.6401607143862476,0.00021263644407804041,-2.1084888982020944,0.0046681532395091985,-6.675025457989712,0.005719097350278979
104,KFI-0,1.0,77.0,-4.908340794470288,0.015783643483161303,-5.548880042813784,0.015606904510568675,-0.6405392483434967,0.00017673897259262716,-2.235703585253298,0.008826615525670878,-5.24333866513604,0.18867246697515005
105,LAU-0,1.0,77.0,-5.356705979624699,0.0031403912181473537,-5.997026648700932,0.0035364576390444213,-0.6403206690762331,0.0003960664208971232,-2.121989366284341,0.0006472145981657462,-6.0475323954074955,0.02446390013682942
106,LEV-0,1.0,77.0,-5.159290050892418,0.0007610614965476437,-5.7995013225295615,0.000766244837951735,-0.6402112716371436,5.1833414040913794e-06,-2.271032527764158,0.0015415095392676825,-5.8660835168510665,0.012880286012730835
107,LIO-0,1.0,77.0,-6.884980597399249,0.009742478716785019,-7.525304915064556,0.00954381493164691,-0.6403243176653073,0.0001986637851380535,-2.3767149222311237,0.0024372576655027345,-6.748072901507978,0.04329204673436271
108,LOS-0,1.0,77.0,-6.176419949761507,0.0004503611695412246,-6.816544811198451,0.000690838405485561,-0.6401248614369446,0.0002404772359440588,-2.3618308078571113,0.0007567408973288003,-6.774963598438013,0.07964510134260694
109,LOV-0,1.0,77.0,-6.896896136503438,0.004148060263142295,-7.537699097536847,0.004262254563554002,-0.6408029610334097,0.00011419430041181844,-2.6175115683122336,0.003206003221873477,-7.521362335225517,0.023764097113720073
110,LTA-0,1.0,77.0,-4.230390416747105,0.00968648788195381,-4.870566052548814,0.01017614868218697,-0.6401756358017091,0.0004896608002333824,-2.11516119400883,0.010483520362310594,-4.625250627676646,0.04896496563389707
111,LTF-0,1.0,77.0,-5.390126156224376,0.018565729168319667,-6.030982676955485,0.01837636685918209,-0.6408565207311098,0.00018936230913757512,-2.0771030664371435,0.008144919912522752,-5.27625770490893,0.088398669142836
112,LTJ-0,1.0,77.0,-6.617228295022463,0.002616484063684865,-7.25780131413232,0.0026956598155996048,-0.6405730191098568,7.917575191462856e-05,-2.3027767912725343,0.002569700213343573,-7.403408940987173,0.0028452341186238073
